Turma (ano);Nascimento (ano);Gênero;Ciências1B;Ciências2B;Ciências3B;Ciências4B;Geografia1B;Geografia2B;Geografia3B;Geografia4B;História1B;História2B;História3B;História4B;Religioso1B;Religioso2B;Religioso3B;Religioso4B;Arte1B;Arte2B;Arte3B;Arte4B;Física1B;Física2B;Física3B;Física4B;Inglês1B;Inglês2B;Inglês3B;Inglês4B;Português1B;Português2B;Português3B;Português4B;Matemática1B;Matemática2B;Matemática3B;Matemática4B
2022;2006;M;7,5;8,0;8,5;8,5;8,0;8,0;8,0;8,0;8,5;7,5;8,2;7,3;7,5;8,5;8,5;8,5;8,5;8,5;6,3;7,3;8,5;8,0;7,3;9,0;7,0;8,0;7,5;8,7;7,0;7,0;6,5;6,0;9,0;7,5;8,0;9,0
2022;2006;F;7,5;8,5;8,5;9,0;7,0;8,0;8,0;8,0;6,5;7,5;6,0;6,7;7,5;7,5;8,0;8,0;6,0;7,5;6,0;6,0;7,5;7,0;8,0;8,5;7,0;7,0;8,0;9,7;6,0;6,5;7,5;6,5;6,5;8,0;8,0;7,0
2022;2007;M;8,5;10,0;10,0;10,0;6,0;9,0;10,0;9,0;8,0;8,5;8,8;10,0;8,5;9,0;9,0;9,5;8,5;8,0;7,7;10,0;9,5;8,7;9,3;10,0;7,0;8,5;9,5;10,0;7,5;6,5;7,5;10,0;9,0;9,5;9,0;10,0
2022;2007;M;7,5;8,0;6,5;8,5;7,0;8,0;8,0;8,0;6,5;6,5;8,0;7,7;7,5;8,0;7,5;8,0;6,5;6,5;6,2;7,7;8,0;7,0;7,3;8,5;6,0;7,0;7,0;9,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0
2022;2007;M;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;8,5;10,0;10,0;9,5;9,5;9,5;10,0;8,5;8,5;9,7;10,0;10,0;10,0;9,3;10,0;8,0;9,0;9,5;10,0;8,0;7,5;8,5;9,0;10,0;9,5;10,0;10,0
2022;2007;M;9,5;9,5;10,0;10,0;10,0;10,0;10,0;10,0;9,5;8,0;10,0;10,0;10,0;10,0;9,5;10,0;9,0;9,0;9,0;10,0;9,5;9,7;9,7;10,0;8,0;9,0;9,5;10,0;10,0;10,0;10,0;10,0;9,5;9,5;10,0;10,0
2021;2006;F;6,0;7,0;6,0;8,7;6,0;6,5;7,0;8,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;8,0;8,0;6,0;8,0;8,0;6,0;6,0;6,0;7,5;6,0;6,0;6,0;8,3
2021;2007;M;6,0;7,0;6,0;4,3;7,0;6,0;6,0;7,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;4,7
2021;2006;M;8,5;10,0;9,5;9,7;10,0;10,0;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;8,0;9,5;9,5;10,0;9,5;10,0
2021;2006;F;6,0;6,0;6,0;6,0;8,0;6,0;6,0;7,0;8,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;8,0;6,0;6,0;7,0;8,5;6,0;10,0;6,0;10,0;7,0;10,0;7,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;6,3
2021;2007;F;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;9,0;9,0;8,0;10,0;10,0;10,0;10,0;10,0;9,0;8,0;8,0;9,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;7,5;10,0;8,0;10,0;9,5;9,0
2021;2006;M;8,5;10,0;9,0;10,0;10,0;10,0;10,0;10,0;8,0;8,0;10,0;10,0;10,0;10,0;10,0;10,0;8,0;9,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;9,0;10,0;9,0;10,0;10,0;10,0
2021;2005;F;6,5;6,0;6,0;9,3;6,0;6,5;7,0;7,5;7,0;6,0;6,0;7,0;6,0;6,0;6,0;8,5;7,0;6,0;6,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,5;6,0;6,0;6,0;8,0
2021;2006;M;9,0;10,0;9,5;10,0;10,0;10,0;10,0;10,0;10,0;8,0;10,0;8,5;9,0;10,0;10,0;10,0;9,0;9,0;8,0;8,5;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;9,0;10,0;8,0;10,0;8,5;10,0;9,5;9,5
2021;2005;M;6,0;6,0;6,5;5,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;5,5
